Key;Text_TC;Category_TC;Mood_TC;Text_SC;Category_SC;Mood_SC;Text_EN;Category_EN;Mood_EN
TD75;連喝5罐啤酒;有問題;憤怒;连喝5罐啤酒;有问题;愤怒;Drink 5 cans of beer in a row;Inappropriate;Angry
TD76;強制自己冷靜下來;有問題;憤怒;强制自己冷静下来;有问题;愤怒;Force yourself to calm down;Inappropriate;Angry
TD77;打自己;有問題;憤怒;打自己;有问题;愤怒;hit yourself;Inappropriate;Angry
TD78;抓自己的頭髮;有問題;憤怒;抓自己的头发;有问题;愤怒;grab one's hair;Inappropriate;Angry
TD79;怨恨朋友沒及時告訴自己;有問題;憤怒;怨恨朋友没及时告诉自己;有问题;愤怒;I resent my friend for not telling me in time;Inappropriate;Angry
TD80;忍忍就過去了;有問題;憤怒;忍忍就过去了;有问题;愤怒;Be patient and it will pass;Inappropriate;Angry
TD81;告訴自己做什麼都是沒用的;有問題;憤怒;告诉自己做什么都是没用的;有问题;愤怒;Tell yourself that whatever you do is useless;Inappropriate;Angry
TD82;停止衝動行為;立即停止;內疚;停止冲动行为;立即停止;内疚;stop impulsive behavior;STOP;Guilty
TD83;深呼吸幾次讓自己冷靜下來;立即停止;內疚;深呼吸几次让自己冷静下来;立即停止;内疚;Take a few deep breaths to calm yourself down;STOP;Guilty
TD84;接受自己內疚的情緒;正念;內疚;接受自己内疚的情绪;正念;内疚;Accept your feelings of guilt;Mindfulness;Guilty
TD85;觀察自己的身體反應;正念;內疚;观察自己的身体反应;正念;内疚;Observe your body’s reactions;Mindfulness;Guilty
TD86;接納自己的想法;正念;內疚;接纳自己的想法;正念;内疚;accept your own thoughts;Mindfulness;Guilty
TD87;安慰鼓勵自己;正念;內疚;安慰鼓励自己;正念;内疚;Comfort and encourage yourself;Mindfulness;Guilty
TD88;避免嚴厲批評自己;正念;內疚;避免严厉批评自己;正念;内疚;Avoid criticizing yourself harshly;Mindfulness;Guilty
TD89;內疚是正常的;辨別並瞭解情緒;內疚;内疚是正常的;辨别并了解情绪;内疚;Guilt is normal;Name your emotions;Guilty
TD90;每個人都會犯錯;辨別並瞭解情緒;內疚;每个人都会犯错;辨别并了解情绪;内疚;everyone makes mistakes;Name your emotions;Guilty
TD91;接受意外的發生;全然接納;內疚;接受意外的发生;全然接纳;内疚;accept the unexpected;Radical acceptance;Guilty
TD92;每個人都可能遇到這樣的事;全然接納;內疚;每个人都可能遇到这样的事;全然接纳;内疚;This happens to everyone;Radical acceptance;Guilty
TD93;這不是世界末日;智慧心;內疚;这不是世界末日;智慧心;内疚;this is not the end of the world;Wise mind;Guilty
TD94;檢查一下有沒有災難化的想像;核對事實;內疚;检查一下有没有灾难化的想象;核对事实;内疚;Check for catastrophizing imagination;Check the fact;Guilty
TD95;後果能被承擔;核對事實;內疚;后果能被承担;核对事实;内疚;The consequences can be borne;Check the fact;Guilty
TD96;列出解決問題的方式;辯證思維;內疚;列出解决问题的方式;辩证思维;内疚;List ways to solve the problem;Dialectical thinking;Guilty
TD97;認清犯錯和自己能力無關;辯證思維;內疚;认清犯错和自己能力无关;辩证思维;内疚;Understand that making mistakes has nothing to do with your ability;Dialectical thinking;Guilty
TD98;向父母尋求情感支持;自我撫慰;內疚;向父母寻求情感支持;自我抚慰;内疚;Seeking emotional support from parents;Sooth;Guilty
TD99;和朋友協商解決;DEARMAN;內疚;和朋友协商解决;DEARMAN;内疚;Negotiate with friends;DEARMAN;Guilty
TD100;明確表達自己的要求;DEARMAN;內疚;明确表达自己的要求;DEARMAN;内疚;Express your requirements clearly;DEARMAN;Guilty
TD101;向朋友表示抱歉;DEARMAN;內疚;向朋友表示抱歉;DEARMAN;内疚;Say sorry to a friend;DEARMAN;Guilty
TD102;以溫和的態度和朋友協商;DEARMAN;內疚;以温和的态度和朋友协商;DEARMAN;内疚;Negotiate with friends in a gentle manner;DEARMAN;Guilty
TD103;找父母幫忙;解決問題;內疚;找父母帮忙;解决问题;内疚;Ask your parents for help;Problem solving;Guilty
TD104;承擔責任;解決問題;內疚;承担责任;解决问题;内疚;Take responsibility;Problem solving;Guilty
TD105;不斷責備自己;有問題;內疚;不断责备自己;有问题;内疚;Keep blaming yourself;Inappropriate;Guilty
TD106;責怪朋友把衣服給自己;有問題;內疚;责怪朋友把衣服给自己;有问题;内疚;Blaming friends for giving them clothes;Inappropriate;Guilty
TD107;逃避責任;有問題;內疚;逃避责任;有问题;内疚;escape responsibility;Inappropriate;Guilty
TD108;朋友一定會和我絕交;有問題;內疚;朋友一定会和我绝交;有问题;内疚;My friends will definitely break up with me;Inappropriate;Guilty
TD109;抱怨自己一直倒楣;有問題;內疚;抱怨自己一直倒霉;有问题;内疚;Complaining about being unlucky all the time;Inappropriate;Guilty
TD110;我就是這樣不走運;有問題;內疚;我就是这样不走运;有问题;内疚;I'm so unlucky;Inappropriate;Guilty
TD111;我笨手笨腳的;有問題;內疚;我笨手笨脚的;有问题;内疚;I'm clumsy;Inappropriate;Guilty
TD112;傷害自己;有問題;內疚;伤害自己;有问题;内疚;hurt oneself;Inappropriate;Guilty
TD113;打自己耳光;有問題;內疚;打自己耳光;有问题;内疚;slap yourself;Inappropriate;Guilty
TD114;覺得自己一事無成;有問題;內疚;觉得自己一事无成;有问题;内疚;Feel like I've accomplished nothing;Inappropriate;Guilty
TD115;認為自己不配活著;有問題;內疚;认为自己不配活着;有问题;内疚;Think you don't deserve to live;Inappropriate;Guilty
TD116;不能再面對朋友;有問題;內疚;不能再面对朋友;有问题;内疚;Can't face friends anymore;Inappropriate;Guilty
TD117;逃避和朋友的交涉;有問題;內疚;逃避和朋友的交涉;有问题;内疚;Avoid talking to friends;Inappropriate;Guilty
TD118;裝作什麼都沒發生;有問題;內疚;装作什么都没发生;有问题;内疚;Pretend nothing happened;Inappropriate;Guilty
TD119;跟朋友打一架;有問題;內疚;跟朋友打一架;有问题;内疚;Have a fight with a friend;Inappropriate;Guilty
TD120;覺得這件事不可能被解決;有問題;內疚;觉得这件事不可能被解决;有问题;内疚;I feel like this matter can't be solved;Inappropriate;Guilty
TD121;深呼吸以冷靜下來;立即停止;羞愧;深呼吸以冷静下来;立即停止;羞愧;Take deep breaths to calm down;STOP;Ashamed
TD122;先思考後行動;立即停止;羞愧;先思考后行动;立即停止;羞愧;Think first, act later;STOP;Ashamed
TD123;客觀地觀察周圍人的反應;立即停止;羞愧;客观地观察周围人的反应;立即停止;羞愧;Objectively observe the reactions of those around you;STOP;Ashamed
TD124;感受自己的身體反應;正念;羞愧;感受自己的身体反应;正念;羞愧;Feel your body's reactions;Mindfulness;Ashamed
TD125;接納自己的情緒;正念;羞愧;接纳自己的情绪;正念;羞愧;accept your emotions;Mindfulness;Ashamed
TD126;給自己祝福;正念;羞愧;给自己祝福;正念;羞愧;bless yourself;Mindfulness;Ashamed
TD127;觀察自己的呼吸心跳;正念;羞愧;观察自己的呼吸心跳;正念;羞愧;Observe your breathing and heartbeat;Mindfulness;Ashamed
TD128;承認自己的情緒;正念;羞愧;承认自己的情绪;正念;羞愧;admit one's emotions;Mindfulness;Ashamed
TD129;避免過度自我批評;正念;羞愧;避免过度自我批评;正念;羞愧;Avoid excessive self-criticism;Mindfulness;Ashamed
TD130;不評判地觀察周圍;正念;羞愧;不评判地观察周围;正念;羞愧;Observe your surroundings without judgment;Mindfulness;Ashamed
TD131;聆聽自己的心聲;智慧心;羞愧;聆听自己的心声;智慧心;羞愧;listen to yourself;Wise mind;Ashamed
TD132;想一想這個當下最重要的是什麼;智慧心;羞愧;想一想这个当下最重要的是什么;智慧心;羞愧;Think about what is most important right now;Wise mind;Ashamed
TD133;想一想自己最在乎的是什麼;智慧心;羞愧;想一想自己最在乎的是什么;智慧心;羞愧;Think about what you care about most;Wise mind;Ashamed
TD134;檢查自己是否有誇大的詮釋;核對事實;羞愧;检查自己是否有夸大的诠释;核对事实;羞愧;Check yourself for exaggerated interpretations;Check the fact;Ashamed
TD135;檢查一下有沒有災難化想法;核對事實;羞愧;检查一下有没有灾难化想法;核对事实;羞愧;Check for catastrophizing thoughts;Check the fact;Ashamed
TD136;想想真的不可以跟別人穿得不一樣嗎;辯證思維;羞愧;想想真的不可以跟别人穿得不一样吗;辩证思维;羞愧;Think about it, can’t you really dress differently from others?;Dialectical thinking;Ashamed
TD137;穿得不一樣和享受聚會可以共存;辯證思維;羞愧;穿得不一样和享受聚会可以共存;辩证思维;羞愧;Dressing differently and enjoying parties can coexist;Dialectical thinking;Ashamed
TD138;想想當下有沒有其他選擇;辯證思維;羞愧;想想当下有没有其他选择;辩证思维;羞愧;Think about whether there are other options at the moment;Dialectical thinking;Ashamed
TD139;享受派對中喜歡的環節;自我撫慰;羞愧;享受派对中喜欢的环节;自我抚慰;羞愧;Enjoy your favorite parts of the party;Sooth;Ashamed
TD140;和朋友聊聊天;自我撫慰;羞愧;和朋友聊聊天;自我抚慰;羞愧;chat with friends;Sooth;Ashamed
TD141;表現出自信;DEARMAN;羞愧;表现出自信;DEARMAN;羞愧;show confidence;DEARMAN;Ashamed
TD142;拒絕別人的不當評價;DEARMAN;羞愧;拒绝别人的不当评价;DEARMAN;羞愧;Reject other people’s inappropriate comments;DEARMAN;Ashamed
TD143;展示自己擅長的事;建立自我掌控;羞愧;展示自己擅长的事;建立自我掌控;羞愧;Show what you are good at;Build mastery;Ashamed
TD144;責備自己;有問題;羞愧;责备自己;有问题;羞愧;blame myself;Inappropriate;Ashamed
TD145;埋怨他人沒有提醒自己;有問題;羞愧;埋怨他人没有提醒自己;有问题;羞愧;Blame others for not reminding themselves;Inappropriate;Ashamed
TD146;諷刺穿著好看的同學;有問題;羞愧;讽刺穿着好看的同学;有问题;羞愧;Ridiculing classmates who dress well;Inappropriate;Ashamed
TD147;貶低自己難看;有問題;羞愧;贬低自己难看;有问题;羞愧;Make yourself look ugly;Inappropriate;Ashamed
TD148;沉浸在難過當中;有問題;羞愧;沉浸在难过当中;有问题;羞愧;immersed in sadness;Inappropriate;Ashamed
TD149;不再參加任何聚會;有問題;羞愧;不再参加任何聚会;有问题;羞愧;No more parties;Inappropriate;Ashamed
TD150;在角落裡不理人;有問題;羞愧;在角落里不理人;有问题;羞愧;Ignore people in the corner;Inappropriate;Ashamed
TD151;不斷詢問他人意見;有問題;羞愧;不断询问他人意见;有问题;羞愧;Keep asking others for their opinions;Inappropriate;Ashamed
TD152;嫉妒別人的穿著;有問題;羞愧;嫉妒别人的穿著;有问题;羞愧;Jealousy of other people's clothing;Inappropriate;Ashamed
TD153;當場離開聚會;有問題;羞愧;当场离开聚会;有问题;羞愧;Leave the party on the spot;Inappropriate;Ashamed
TD154;扔掉自己的校服;有問題;羞愧;扔掉自己的校服;有问题;羞愧;Throw away your school uniform;Inappropriate;Ashamed
TD155;責怪父母;有問題;羞愧;责怪父母;有问题;羞愧;blame parents;Inappropriate;Ashamed
TD156;不斷和他人比較;有問題;羞愧;不断和他人比较;有问题;羞愧;Constantly comparing yourself to others;Inappropriate;Ashamed
TD157;貶低他人的著裝;有問題;羞愧;贬低他人的着装;有问题;羞愧;Dressing that demeans others;Inappropriate;Ashamed
TD158;不評判地觀察小A的反應;正念;快樂;不评判地观察小A的反应;正念;快乐;Observe friend A’s reaction without judging;Mindfulness;Cheerful
TD159;承認自己的情緒;正念;快樂;承认自己的情绪;正念;快乐;admit one's emotions;Mindfulness;Cheerful
TD160;探索自己的呼吸心跳;正念;快樂;探索自己的呼吸心跳;正念;快乐;Explore your breathing and heartbeat;Mindfulness;Cheerful
TD161;不加評判地觀察周圍;正念;快樂;不加评判地观察周围;正念;快乐;Observe your surroundings without judgment;Mindfulness;Cheerful
TD162;接受自己的快樂;辨別並瞭解情緒;快樂;接受自己的快乐;辨别并了解情绪;快乐;accept your own happiness;Name your emotions;Cheerful
TD163;我快樂是合理的;辨別並瞭解情緒;快樂;我快乐是合理的;辨别并了解情绪;快乐;My happiness is reasonable;Name your emotions;Cheerful
TD164;鼓勵贊同自己;辨別並瞭解情緒;快樂;鼓励赞同自己;辨别并了解情绪;快乐;encourage yourself;Name your emotions;Cheerful
TD165;考好了應該開心;辨別並瞭解情緒;快樂;考好了应该开心;辨别并了解情绪;快乐;You should be happy if you pass the exam;Name your emotions;Cheerful
TD166;深入探索自己的想法;核對事實;快樂;深入探索自己的想法;核对事实;快乐;Explore your thoughts deeply;Check the fact;Cheerful
TD167;思考該怎麼做;核對事實;快樂;思考该怎么做;核对事实;快乐;think about what to do;Check the fact;Cheerful
TD168;不壓抑自己的情緒;智慧心;快樂;不压抑自己的情绪;智慧心;快乐;Don't suppress your emotions;Wise mind;Cheerful
TD169;思考一下自己最重視的是什麼;智慧心;快樂;思考一下自己最重视的是什么;智慧心;快乐;Think about what you value most;Wise mind;Cheerful
TD170;思考一下當下最重要的是什麼;智慧心;快樂;思考一下当下最重要的是什么;智慧心;快乐;Think about what is most important right now;Wise mind;Cheerful
TD171;思考行動的結果;智慧心;快樂;思考行动的结果;智慧心;快乐;Think about the consequences of your actions;Wise mind;Cheerful
TD172;不做和目的無關的事;智慧心;快樂;不做和目的无关的事;智慧心;快乐;Don’t do anything irrelevant to the purpose;Wise mind;Cheerful
TD173;支持鼓勵小A;DEARMAN;快樂;支持鼓励小A;DEARMAN;快乐;Support and encourage friend A;DEARMAN;Cheerful
TD174;避免輕視小A;DEARMAN;快樂;避免轻视小A;DEARMAN;快乐;Avoid looking down on friend A;DEARMAN;Cheerful
TD175;表現出自信和關懷;DEARMAN;快樂;表现出自信和关怀;DEARMAN;快乐;Show confidence and caring;DEARMAN;Cheerful
TD176;不貶低小A;DEARMAN;快樂;不贬低小A;DEARMAN;快乐;Don’t belittle friend A;DEARMAN;Cheerful
TD177;觀察小A的情緒;DEARMAN;快樂;观察小A的情绪;DEARMAN;快乐;Observe friend A’s emotions;DEARMAN;Cheerful
TD178;尊重小A的反應;DEARMAN;快樂;尊重小A的反应;DEARMAN;快乐;Respect friend A’s reaction;DEARMAN;Cheerful
TD179;忽視小A的感受;有問題;快樂;忽视小A的感受;有问题;快乐;Ignore friend A’s feelings;Inappropriate;Cheerful
TD180;覺得自己不該快樂;有問題;快樂;觉得自己不该快乐;有问题;快乐;Feel like I shouldn't be happy;Inappropriate;Cheerful
TD181;覺得自己不是好朋友;有問題;快樂;觉得自己不是好朋友;有问题;快乐;I feel like I’m not a good friend;Inappropriate;Cheerful
TD182;嘲笑小A;有問題;快樂;嘲笑小A;有问题;快乐;Laughing at friend A;Inappropriate;Cheerful
TD183;和小A比較;有問題;快樂;和小A比较;有问题;快乐;Compare with friend A;Inappropriate;Cheerful
TD184;貶低自己;有問題;快樂;贬低自己;有问题;快乐;demean oneself;Inappropriate;Cheerful
TD185;壓抑自己的情緒;有問題;快樂;压抑自己的情绪;有问题;快乐;suppress one's emotions;Inappropriate;Cheerful
TD186;不承認自己的成就;有問題;快樂;不承认自己的成就;有问题;快乐;Not recognizing one's own achievements;Inappropriate;Cheerful
TD187;忽視自己的情緒;有問題;快樂;忽视自己的情绪;有问题;快乐;ignore one's emotions;Inappropriate;Cheerful
TD188;完全按小A的想法走;有問題;快樂;完全按小A的想法走;有问题;快乐;Follow friend A’s idea completely;Inappropriate;Cheerful
TD189;認為小A一事無成;有問題;快樂;认为小A一事无成;有问题;快乐;Think friend A has accomplished nothing;Inappropriate;Cheerful
TD190;優先照顧小A;有問題;快樂;优先照顾小A;有问题;快乐;Give priority to friend A;Inappropriate;Cheerful
TD191;隱藏自己的快樂;有問題;快樂;隐藏自己的快乐;有问题;快乐;hide one's happiness;Inappropriate;Cheerful
